seed, type, density, mode, subchromatique, idnoeud, score
1710090403, ER, 0.1, SCA, 27, 437, 1
1710090403, ER, 0.1, SCA, 27, 438, 0.5
1710090403, ER, 0.1, SCA, 27, 439, 1
1710090403, ER, 0.1, SCA, 27, 440, 0.5
1710090403, ER, 0.1, SCA, 27, 441, 1
1710090403, ER, 0.1, SCA, 27, 442, 1
1710090403, ER, 0.1, SCA, 27, 443, 1
1710090403, ER, 0.1, SCA, 27, 444, 0.5
1710090403, ER, 0.1, SCA, 27, 445, 0.5
1710090403, ER, 0.1, SCA, 27, 446, 1
1710090403, ER, 0.1, SCA, 27, 447, 1
1710090403, ER, 0.1, SCA, 27, 448, 1
1710090403, ER, 0.1, SCA, 27, 449, 0.5
1710090403, ER, 0.1, SCA, 27, 450, 1
1710090403, ER, 0.1, SCA, 27, 451, 1
1710090403, ER, 0.1, SCA, 27, 452, 1
1710090403, ER, 0.1, SCA, 27, 453, 1
1710090403, ER, 0.1, SCA, 27, 454, 1
1710090403, ER, 0.1, SCA, 27, 455, 1
1710090403, ER, 0.1, SCA, 27, 456, 0.5
1710090403, ER, 0.1, SCA, 27, 457, 1
1710090403, ER, 0.1, SCA, 27, 458, 1
1710090403, ER, 0.1, SCA, 27, 459, 1
1710090403, ER, 0.1, SCA, 27, 460, 0.5
1710090403, ER, 0.1, SCA, 27, 461, 1
1710090403, ER, 0.1, SCA, 27, 462, 1
1710090403, ER, 0.1, SCA, 27, 463, 1
1710090403, ER, 0.1, SCA, 27, 464, 1
1710090403, ER, 0.1, SCA, 27, 465, 1
1710090403, ER, 0.1, SCA, 27, 466, 1
1710090403, ER, 0.1, SCA, 27, 467, 1
1710090403, ER, 0.1, SCA, 27, 468, 1
1710090403, ER, 0.1, SCA, 27, 469, 1
1710090403, ER, 0.1, SCA, 27, 470, 0.5
1710090403, ER, 0.1, SCA, 27, 471, 1
1710090403, ER, 0.1, SCA, 27, 472, 0.5
1710090403, ER, 0.1, SCA, 27, 473, 1
1710090403, ER, 0.1, SCA, 27, 474, 1
1710090403, ER, 0.1, SCA, 27, 475, 1
1710090403, ER, 0.1, SCA, 27, 476, 1
1710090403, ER, 0.1, SCA, 27, 477, 1
1710090403, ER, 0.1, SCA, 27, 478, 1
1710090403, ER, 0.1, SCA, 27, 479, 1
1710090403, ER, 0.1, SCA, 27, 480, 1
1710090403, ER, 0.1, SCA, 27, 481, 0.5
1710090403, ER, 0.1, SCA, 27, 482, 1
1710090403, ER, 0.1, SCA, 27, 483, 1
1710090403, ER, 0.1, SCA, 27, 484, 1
1710090403, ER, 0.1, SCA, 27, 485, 1
1710090403, ER, 0.1, SCA, 27, 486, 1
1710090403, ER, 0.1, SCA, 27, 487, 1
1710090403, ER, 0.1, SCA, 27, 488, 1
1710090403, ER, 0.1, SCA, 27, 489, 1
1710090403, ER, 0.1, SCA, 27, 490, 1
1710090403, ER, 0.1, SCA, 27, 491, 1
1710090403, ER, 0.1, SCA, 27, 492, 1
1710090403, ER, 0.1, SCA, 27, 493, 1
1710090403, ER, 0.1, SCA, 27, 494, 1
1710090403, ER, 0.1, SCA, 27, 495, 1
1710090403, ER, 0.1, SCA, 27, 496, 0.5
1710090403, ER, 0.1, SCA, 27, 497, 1
1710090403, ER, 0.1, SCA, 27, 498, 1
1710090403, ER, 0.1, SCA, 27, 499, 1
1710090403, ER, 0.1, SCA, 27, 500, 0.5
1710090403, ER, 0.1, SCA, 27, 501, 1
1710090403, ER, 0.1, SCA, 27, 502, 1
1710090403, ER, 0.1, SCA, 27, 503, 1
1710090403, ER, 0.1, SCA, 27, 504, 1
1710090403, ER, 0.1, SCA, 27, 505, 1
1710090403, ER, 0.1, SCA, 27, 506, 1
1710090403, ER, 0.1, SCA, 27, 507, 0.5
1710090403, ER, 0.1, SCA, 27, 508, 0.5
1710090403, ER, 0.1, SCA, 27, 509, 1
1710090403, ER, 0.1, SCA, 27, 510, 0.5
1710090403, ER, 0.1, SCA, 27, 511, 1
1710090403, ER, 0.1, SCA, 27, 512, 1
1710090403, ER, 0.1, SCA, 27, 513, 0.5
1710090403, ER, 0.1, SCA, 27, 514, 1
1710090403, ER, 0.1, SCA, 27, 515, 1
1710090403, ER, 0.1, SCA, 27, 516, 1
1710090403, ER, 0.1, SCA, 27, 517, 1
1710090403, ER, 0.1, SCA, 27, 518, 1
1710090403, ER, 0.1, SCA, 27, 519, 1
1710090403, ER, 0.1, SCA, 27, 520, 1
1710090403, ER, 0.1, SCA, 27, 521, 1
1710090403, ER, 0.1, SCA, 27, 522, 0.5
1710090403, ER, 0.1, SCA, 27, 523, 1
1710090403, ER, 0.1, SCA, 27, 524, 1
